keyword,bill_no,bill_name,proposer,proposed_date,status,url
응급의료,2208920,응급의료에 관한 법률 일부개정법률안 (강선우의원 등 13인) (새창 열림),의원,2025-03-13,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_D2E5C0C2B2Z8A1O8Q1O5O5M7L9M6T7
응급의료,2208726,응급의료에 관한 법률 일부개정법률안 (이광희의원 등 13인) (새창 열림),의원,2025-03-07,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_O2O5M0N3L0M4K0L9G3H9F3E6E1C9E0
응급의료,2206389,응급의료에 관한 법률 일부개정법률안 (임호선의원 등 11인) (새창 열림),의원,2024-12-11,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_N2L4L1U1U1S8R1S1Q0Q4Y4Z3X1W5W2
응급의료,2205860,응급의료에 관한 법률 일부개정법률안 (소병훈의원 등 11인) (새창 열림),의원,2024-11-26,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_P2P4X1X1Z0P6N1N5M5N0L0L7T2U8S0
응급의료,2205167,응급의료에 관한 법률 일부개정법률안 (이수진의원 등 11인) (새창 열림),의원,2024-11-01,체계자구심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_K2J4H1G0O1P7O1M3L0T0T5S1R8P8X5
응급의료,2204056,응급의료에 관한 법률 일부개정법률안 (인요한의원 등 10인) (새창 열림),의원,2024-09-19,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_G2E4F0D8E1L2M1L3L4J6K2I9Q9R1P8
응급의료,2203411,응급의료에 관한 법률 일부개정법률안 (이주영의원 등 10인) (새창 열림),의원,2024-08-30,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_J2K4I0I8R0R8P1Q3O5P0N1V2W9U4V9
응급의료,2203226,응급의료에 관한 법률 일부개정법률안 (박주민의원 등 12인) (새창 열림),의원,2024-08-27,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_I2I4H0O8P1O2O1M7L5M1T4U5T2T5R2
공공보건의료법,2212809,공공보건의료에 관한 법률 일부개정법률안 (문진석의원 등 11인) (새창 열림),의원,2025-09-09,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_Y2Y5W0X6V1D6E0C9D3B2C2A8B0I6J8
공공보건의료법,2208395,공공보건의료에 관한 법률 일부개정법률안 (서천호의원 등 13인) (새창 열림),의원,2025-02-25,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_O2P5W0X2V1U3U1S0T4B4C5A2Y3Z0Y8
공공보건의료법,2206076,공공보건의료에 관한 법률 일부개정법률안 (문금주의원 등 15인) (새창 열림),의원,2024-11-29,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_X2F4F1E1F2D2D1B3K3K2I4J7H3I8H3
공공보건의료법,2205616,공공보건의료에 관한 법률 일부개정법률안 (김윤의원 등 21인) (새창 열림),의원,2024-11-15,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_A2Z4Z1V1V1U1U1S1R2S0A3A1Y3Z6X0
공공보건의료법,2202228,공공보건의료에 관한 법률 일부개정법률안 (김선민의원 등 15인) (새창 열림),의원,2024-07-25,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_H2E4N0N7W1T7S1B3A2X2F5F7D2C7B1
